BDD_ID,Bench Label
2,41
3,832
3,1302
4,13
5,786
6,20
6,798
7,1
7,772
16,1761
16,2158
10,794
17,45
4,782
21,1337
7,874
24,1562
27,2730
28,33
29,825
29,1298
30,1833
10,895
31,169
32,1179
4,1279
39,1821
39,2212
40,2633
41,50
42,665
48,2898
49,2230
50,213
13,769
53,1452
56,1909
57,793
58,1196
60,1409
64,914
65,913
66,1202
67,1869
10,915
59,1197
75,2068
79,1870
82,1673
29,820
83,1117
10,803
84,1580
85,150
87,1788
88,1579
89,58
89,845
91,1787
6,1345
92,68
93,854
94,848
42,842
97,1338
98,1581
101,1986
108,2270
117,2648
121,3172
121,3493
126,3681
145,2652
117,3118
146,349
147,896
29,1384
148,1850
149,223
151,2023
153,1401
154,222
156,1643
28,1849
157,77
158,2022
161,2238
162,829
163,1427
167,1670
167,2052
173,2419
174,835
13,779
176,1306
179,2057
180,274
189,2418
191,1873
192,226
206,2417
220,2656
220,3112
221,200
275,3414
291,3115
292,190
346,3413
429,3557
430,179
488,3410
548,3407
645,3644
709,3721
709,3850
709,3953
799,4029
806,4042
824,4075
860,4105
878,4146
893,4189
896,2632
28,821
897,1818
898,1815
2,2211
899,2398
900,2210
901,892
901,1363
903,1803
292,886
10,883
904,1353
909,2206
909,2623
912,3055
913,116
913,753
917,3278
711,889
919,1806
923,2203
923,2614
925,3054
926,107
926,740
930,3277
931,1358
934,2200
934,2605
937,3053
938,97
938,727
942,3276
944,2197
944,2596
946,3052
947,87
947,715
951,3275
952,890
953,1366
955,1809
958,2194
958,2587
961,3051
157,706
963,3274
964,891
966,1812
968,2191
968,2578
970,3050
92,690
972,3273
977,2188
977,2569
980,3049
89,670
982,3272
986,2185
986,2560
988,3048
989,283
993,3271
1134,3398
1138,3538
1139,2209
909,2551
912,2991
1140,125
1144,3214
923,2542
925,2990
1145,128
1149,3213
934,2533
937,2989
1150,132
1154,3212
944,2524
946,2988
1155,137
1159,3211
958,2515
961,2987
1160,143
1164,3210
968,2506
970,2986
1166,3209
977,2497
980,2985
1167,159
1171,3208
986,2488
988,2984
1172,124
1176,3207
1234,3390
1238,3537
1243,3634
1255,3713
1322,4251
1334,4335
1337,2729
67,1884
1345,2083
1348,1885
82,1676
84,1588
1350,1794
88,1587
947,858
1352,1793
6,1348
1353,1589
1356,1988
1361,2282
1377,2677
1381,3141
148,1856
1382,238
1384,2029
153,1404
1385,232
1387,1646
28,1855
1388,2028
1391,2241
1397,2432
189,2431
191,1888
1398,244
1412,2430
1426,2681
1426,3135
1475,3438
1489,3138
1538,3437
1622,3573
1381,2673
1669,3434
1719,3431
1803,3661
1879,3740
67,1879
1887,2078
1890,1880
82,1675
84,1585
1891,1792
88,1584
1892,1791
6,1347
1893,1586
1896,1987
1902,2277
1918,2666
1924,3134
148,1854
1926,2027
153,1403
1928,1645
28,1853
1929,2026
1932,2240
1938,2427
189,2426
191,1883
1952,2425
1966,2670
1966,3128
2008,3430
2019,3131
2061,3429
2125,3568
1924,2662
2165,3426
2212,3423
2282,3657
2329,3734
67,1874
2336,2073
2339,1875
82,1674
84,1583
2341,1790
88,1582
92,851
2343,1789
6,1346
92,877
92,1496
93,1765
89,956
2344,1981
94,1339
2345,1764
2347,2178
2348,2374
2349,2486
2352,2768
2359,3119
2376,3419
2383,3653
148,1852
2385,2025
153,1402
2387,1644
28,1851
1351,2024
2390,2239
2396,2422
189,2421
191,1878
2410,2420
2424,2659
2424,3122
2475,3652
2486,3125
2537,3651
2619,3731
2383,3415
2671,3648
2729,3645
2818,3789
2883,3838
4439,3926
4439,4035
4440,343
4446,1926
148,1864
4447,264
4449,2037
153,1408
4450,257
4452,1650
28,1863
4453,303
4454,2036
4457,2245
163,1426
167,1667
167,2038
4463,2450
17,836
4464,1315
179,2043
4465,2449
4466,1908
4467,270
4478,2448
4489,2723
4503,3168
67,1904
29,916
4504,1219
4510,2103
4513,1905
82,1680
84,1599
938,864
4515,1802
88,1598
4517,1801
6,1352
4518,1600
4521,1991
4528,2299
4534,2715
4583,3466
4489,3165
4635,3463
4676,3677
67,1899
4682,2098
4685,1900
82,1679
84,1596
4687,1800
88,1595
4688,1799
6,1351
1087,870
4689,1597
4692,1990
4699,2294
4715,2706
4721,3164
148,1862
4723,2035
153,1407
4724,250
4726,1649
28,1861
4727,294
4728,2034
4731,2244
4737,2445
4465,2444
4466,1903
4748,2443
4759,2710
4759,3158
4820,3462
4832,3161
4893,3461
5017,3589
4721,2702
5070,3458
5124,3455
5221,3676
5388,3756
67,1894
5393,2093
5396,1895
82,1678
84,1594
5397,1798
88,1593
5398,1797
6,1350
926,880
926,1502
1087,1767
938,962
5399,1982
1084,1344
5400,1766
5402,2179
5403,2375
5404,2487
5407,2769
5414,3149
5431,3451
5438,3672
148,1860
5440,2033
153,1406
5442,1648
28,1859
4516,2032
5445,2243
5451,2440
4465,2439
4466,1898
5462,2438
5473,2697
5473,3152
5534,3671
5544,3155
5605,3670
5736,3753
5438,3447
5791,3667
5847,3664
5943,3803
6103,3845
67,1889
6108,2088
6111,1890
82,1677
84,1591
6112,1796
88,1590
6113,1795
6,1349
1084,867
1089,861
6116,1343
6117,1592
6120,1989
6127,2287
6144,2688
6151,3148
148,1858
6153,2031
153,1405
6155,1647
28,1857
4525,2030
6158,2242
6164,2437
175,1322
188,2436
190,1893
6177,2435
6190,2692
6190,3142
6258,3446
6268,3145
6321,3445
6428,3578
6151,2684
6483,3442
6537,3439
6631,3663
6774,3743
8997,3936
9042,3673
10119,3935
10168,3800
10523,3895
10567,3662
6631,3766
14246,3996
14650,4091
14650,4167
22619,4283
22661,3658
23924,3931
23964,3654
24389,3930
24438,3786
24578,3894
24625,3643
645,3765
26379,3992
35177,4310
35177,4465
35177,4563
45078,4562
4446,1917
4446,2304
45092,2719
4534,3171
45140,3470
45188,3469
45288,3594
45363,3680
45499,3762
47133,3932
47484,4056
47487,2728
4503,3193
4832,3192
5544,3191
6268,3190
430,917
47550,3383
549,1459
47608,3194
47626,3471
47649,3605
48059,4094
48059,4174
55691,4284
55692,330
66269,4608
82611,4644
82611,4722
47487,1913
82616,3178
82616,3502
82621,3687
1879,3858
1879,3962
82723,4047
82730,4046
82754,4086
82801,4119
82801,4213
82806,3175
82806,3496
82811,3685
2329,3855
2329,3956
82878,4044
82885,4043
82907,4085
82951,4116
82951,4203
82955,3682
82955,3821
82959,3898
2883,3937
2883,4059
83038,4114
83045,4113
83059,4154
83091,4197
83091,4305
87573,4443
89451,4549
89451,4656
96189,4706
121,3490
126,3703
709,3950
799,4058
806,4057
824,4098
860,4139
878,4239
82951,4200
103008,4448
103031,3812
103031,3913
103350,4447
103370,3809
103429,4446
103432,1912
103446,3912
103460,3947
110702,4503
110702,4616
112794,4670
112982,4669
114859,4705
120609,4740
120609,4844
135857,4897
139394,4896
142105,4924
152344,4946
82801,4209
153295,4317
154321,4387
154321,4531
155381,4596
82951,4356
155401,4452
156541,4322
157363,4421
160474,4509
161468,4508
163895,4552
170374,4593
170374,4691
175884,4748
178307,4747
180969,4786
191782,4818
194142,4316
195706,4435
196756,4507
83091,4353
196774,4484
198455,4326
103290,4325
103392,3920
201047,4416
204448,4527
205441,4526
208001,4572
216730,4619
224799,4674
228404,4673
231664,4708
247793,4743
263054,4982
89451,4659
96189,4707
120609,4847
135857,4899
139394,4898
142105,4925
152344,4949
266491,4968
273955,4981
276323,5007
276327,5030
276330,2121
276347,4985
276367,5080
276367,5139
278304,5182
27,2732
40,2635
94,679
278309,2899
49,2231
82955,3824
82959,3899
2883,4062
83038,4106
83045,4115
83059,4147
83091,4190
196774,4252
278323,4303
896,2634
912,3063
278326,3286
925,3062
278328,3285
937,3061
278331,3284
946,3060
278333,3283
961,3059
278336,3282
970,3058
278338,3281
980,3057
278340,3280
988,3056
278344,3279
278414,3399
28,1369
278417,3540
29,1842
912,2999
278419,3222
925,2998
278422,3221
937,2997
278424,3220
946,2996
278428,3219
961,2995
278430,3218
970,2994
278432,3217
980,2993
41,655
278434,3216
988,2992
278438,3215
278508,3391
278511,3539
278514,3635
278521,3714
278583,4376
278592,4472
1337,2731
284615,4916
294464,4951
247793,4850
309656,4969
311887,4902
319387,4950
339032,4983
339035,5010
276330,2122
339051,4831
339071,5050
339071,5117
344854,5212
344891,5159
351116,5183
364585,5228
369474,5253
27,2734
40,2637
93,686
369478,2900
49,2232
82806,3499
82811,3686
2329,3959
82878,4030
82885,4045
82907,4076
82951,4107
155401,4148
369492,4191
896,2636
912,3071
369496,3294
925,3070
369498,3293
937,3069
369501,3292
946,3068
369503,3291
961,3067
369506,3290
970,3066
369508,3289
980,3065
369510,3288
988,3064
369514,3287
369556,3400
369559,3542
29,1843
912,3007
369561,3230
925,3006
369564,3229
937,3005
369566,3228
946,3004
369568,3227
961,3003
369570,3226
970,3002
369572,3225
980,3001
982,3224
988,3000
369576,3223
369695,3392
369698,3541
